"Id","Title","Score","AnswerCount","CommentCount","cluster"
596,"Something like E-M for discriminative models?",0,3,4,6
602,"Heuristics for optimizing ν-SVM?",3,2,0,8
604,"Why prediction of a predicted variable from a discriminant analysis is imperfect",7,2,6,5
608,"How can one empirically demonstrate in R which cross-validation methods the AIC and BIC are equivalent to?",17,1,9,6
612,"is psych::principal function still PCA when using rotation?",6,3,3,7
614,"Open Source statistical textbooks?",13,9,6,3
622,"What is the difference between a partial likelihood, profile likelihood and marginal likelihood?",11,2,0,3
624,"Forecasting handbooks",3,1,0,8
631,"Standard deviation of standard deviation",15,4,0,8
633,"Incorporating boolean data into analysis",4,4,0,3
638,"How to calculate the ratio of ""data used in analysis"" and ""saved data for validation"" from a sample set?",7,4,0,7
641,"Where is a good place to find survey results?",4,2,2,6
643,"How do you convey the beauty of the Central Limit Theorem to a non-statistician?",19,7,2,3
645,"Best Way to Aggregate and Analyze Data",10,4,1,5
652,"Best books for an introduction to statistical data analysis?",8,12,12,7
660,"Automating statistical correlation between ""texts"" and ""data""",6,2,3,2
665,"What's the difference between probability and statistics?",24,15,0,3
672,"What is Bayes' theorem all about?",17,8,2,1
685,"Lies, Damn Lies and Statistics",-3,2,5,7
692,"How do I determine if a survival model with missing data is appropriate?",9,2,0,5
712,"Data anonymization software",9,4,1,8
715,"Dataset for multi class perceptron",2,1,0,4
723,"How can I test whether my clustering of binary data is significant",6,3,0,3
725,"Suggested R packages for frontier estimation or segmentation of hyperspectral images",4,4,0,2
726,"Famous statistician quotes",68,115,0,2
740,"Interpretation of coefficients in a first order Markov Transitional model",0,1,2,3
743,"Use of Bayesian Search Theory in geological interpretation",4,2,0,2
764,"Linear Mixed Effects Models",11,3,0,4
769,"What types of data analysis do not count as statistics?",2,2,4,6
770,"Is it possible to use machine learning as a method for learning stats, rather than vice-versa?",5,5,0,6
775,"Operations research versus statistical analysis?",6,3,0,6
779,"Normal distribution and monotonic transformations",7,6,5,5
790,"Why (or when) to use the log-mean?",3,2,3,2
795,"Normalization of series",-3,2,2,3
798,"Calculating optimal number of bins in a histogram for n, where n ranges from 30-350",10,6,0,5
805,"How do I calculate the SE for PPV, NPV, and DOR?",1,2,0,2
806,"When should normalization never be used?",2,3,1,7
812,"What is the difference between functional data analysis and high dimensional data analysis",6,2,1,4
820,"How can I link item by relevance?",0,2,1,7
825,"Any suggestions for making R code use multiple processors?",16,5,8,5
834,"What is AIC? Looking for a formal but intuitive answer",3,3,3,7
837,"R lrm model with no predictors",0,2,0,1
841,"Comparing the variance of paired observations",12,5,2,7
846,"Regression output and Fisher-Snedecor distribution",1,1,1,6
847,"What statistical model is used to calculate the test results for GWO?",0,1,3,6
852,"Elasticities Using GLM",3,1,0,6
856,"Fisher's Exact Test with weights?",7,3,0,8
859,"ANOVA with non-independent observations",8,4,0,1
866,"When should I use lasso vs ridge?",18,3,2,4
868,"Training a Logistic Regression Model",4,4,1,8
870,"Multiple hypothesis testing correction with Benjamini-Hochberg, p-values or q-values?",9,1,4,5
871,"Correct formatting (capitalization, italicization, hyphenation) of ""p-value""?",11,4,1,4
877,"Time Series Econometrics: VECM with multiple cointegration vectors",4,0,0,4
880,"Cross validation in very high dimension (to select the number of used variables in very high dimensional classification)",5,1,2,5
881,"Series expansion of a density function",5,3,0,7
884,"What are ""degrees of freedom""?",26,3,0,2
886,"What is the 'fundamental' idea of machine learning for estimating parameters?",7,5,4,3
887,"Basic question regarding variance and stdev of a sample",1,6,1,8
890,"Logistic Regression: Reference Category and Prediction",2,2,1,7
897,"Online vs offline learning?",7,1,0,7
898,"Modeling of real-time streaming data?",4,6,1,3
899,"Separating two populations from the sample",7,3,3,5
913,"Relationships between two variables",3,8,2,6
920,"Test if probabilities are statistically different?",4,1,0,6
924,"Determine if three is statistically different than ten for a very large number of observations (1,000,000)",6,7,2,8
927,"Statistical podcasts",16,5,0,2
928,"Measurement level of percentile scores",3,3,3,4
929,"Probability Interpretations",0,1,4,2
939,"Yates' correction for continuity only for 2X2?",2,1,2,3
942,"Application of wavelets to time-series-based anomaly detection algorithms",7,3,0,7
944,"How can I get R to stop autocompleting my quotes/parens?",1,3,5,5
946,"Column Means Significance Tests in R",2,2,0,7
949,"When is logistic regression solved in closed form?",10,1,5,3
951,"Nonhomogeneous Poisson and Heavy tail inter arrival time distribution",6,3,0,6
952,"How to reduce number of items on a multi-item scale where each item requires ranking four response options",2,2,2,2
955,"Data Analysis Work-- Is there Any Freelance Opportunity?",0,1,6,1
961,"Statistical test for n x m contingency tables",8,2,0,5
964,"What are analysts looking for when they plot a differenced, logged time series?",3,6,0,2
973,"Free data set for very high dimensional classification",13,5,2,3
977,"How many measurements are needed to 'baseline' a measurement?",2,3,0,2
980,"How do I reduce the number of data points in a series?",3,6,6,2
1001,"Is Spearman's correlation coefficient usable to compare distributions?",2,3,6,3
1012,"What would the calculated value of the standard deviation of a uniform distribution be?",1,2,3,8
1015,"Reliability in Elicitation Exercise",6,2,2,2
1016,"Is a variable significant in a linear regression model?",7,5,0,4
1023,"Where can I find good statistics quizzes?",5,2,1,7
1028,"Questions about KL divergence?",8,3,0,1
1040,"What is the interpretation/meaning of confidence intervals in misspecified models?",1,3,3,6
1045,"Is there a radical difference in how bayesian and frequentist approaches treat nuisance parameters?",2,1,1,8
1047,"Is Kolmogorov-Smirnov test valid with discrete distributions?",6,1,0,1
1052,"What is the major difference between correlation and mutual information?",5,2,0,2
1053,"References for Survival Analysis",12,8,1,1
1054,"R command for stcox in STATA",4,2,0,1
1060,"Why does AIC formula in R appear to use one extra parameter than expected?",5,1,0,5
1062,"Orthogonal parametrization",2,2,1,1
1063,"Why Are Mean 0 And Standard Deviation 1 Distributions Always Used",2,2,0,6
1066,"Approximating density function for a non-normal distribution",1,1,5,3
1071,"Effects of scale on the beta-binomial distribution",1,0,2,4
1081,"Help me understand nMDS algorithm",3,1,2,2
1082,"How to define the significance threshold for mutual information in terms of probability of that value occurring in surrogate set?",3,1,0,6
1084,"Equation to calculate a smooth line given an irregular time series?",4,2,0,8
1093,"Density function for a multivariate Bernoulli-like distribution",2,2,2,2
1095,"Tonga: low rank approximation of the natural gradient, question regarding Le Roux et al. 2007",0,2,1,7
1099,"How to handle count data (categorical data), when it has been converted to a rate?",3,6,3,6
1112,"How to represent an unbounded variable as number between 0 and 1",7,7,8,1
1115,"Can I predict percentage change in earnings from percentage change in produced and percentage changed in price?",-2,3,3,4
1123,"Modeling success rate with gaussian distribution",1,4,0,5
1126,"Reasons besides prediction to build models?",9,10,5,1
1130,"Regression-multiple observations per subject",4,1,0,5
1133,"Multiple Chi-Squared Tests",2,3,2,4
1142,"Simple algorithm for online outlier detection of a generic time series",17,8,3,6
1149,"Is there an intuitive explanation why multicollinearity is a problem in linear regression?",21,6,1,6
1160,"What code would you put before/after your R session?",1,3,6,5
1164,"Why haven't robust (and resistant) statistics replaced classical techniques?",31,12,3,3
1167,"Longer object length is not a multiple of shorter object length?",1,1,5,1
1169,"CI for a difference based on independent CIs",4,1,0,2
1173,"Alternative graphics to ""handle bar"" plots",8,7,4,1
1174,"How can I test if given samples are taken from a Poisson distribution?",4,8,0,8
1184,"Introduction to index decomposition analysis",3,2,0,6
1194,"Practical thoughts on explanatory vs. predictive modeling",15,5,12,1
1195,"How can I apply a Pareto tail to a truncated distribution?",5,2,0,4
1202,"Ranking distributional data by similarity",2,3,0,6
1205,"Two-sample T-test with weighted data",3,1,2,7
1207,"Period detection of a generic time series",10,4,0,8
1215,"Analysis of sells (what to buy)",2,2,0,1
1223,"Robust outlier detection in financial timeseries",10,3,11,3
1224,"Heterogeneity with two studies",2,1,3,6
1228,"How to interpret a control chart containing a majority of zero values?",7,5,2,6
1241,"What do ROC curves tell you that traditional inference wouldn't?",9,5,2,2
1249,"Non-trivial bound for $E[\exp(Z^2)]$ when $Z \sim {\rm Bin}(n, n^{-\beta})$ with $\beta \in (0,1)$",5,3,6,6
1252,"Statistical models cheat sheet",18,4,0,4
1253,"How to limit my input data for Jaccard item-item similarity calc",5,2,0,3
1256,"How can one speed up this correlation calculation in R without multicore?",5,3,4,8
1257,"What is the correct likelihood function for an sequential, adaptive data generation process?",1,2,1,7
1261,"Fitting a fixed, exponential relationship between categories with categorical data",3,2,4,2
1266,"A non-parametric repeated-measures multi-way Anova in R?",2,3,0,1
1268,"SVD dimensionality reduction for time series of different length",9,5,4,3
1270,"Exponential moving averages of a time series with varying sampling",3,1,0,6
1272,"How to organize a dataset with many attributes",0,2,0,5
1274,"Best way to show these or similar count data are not independent?",4,3,3,1
1278,"Is calculating Incidence Rate Difference/Ratio appropriate for single case experimental design?",2,2,2,2
1286,"How can I obtain some of all possible combinations in R?",3,2,7,5
1289,"Visualizing multiple ""histograms""",6,2,7,5
1292,"What is the weak side of decision trees?",5,3,0,3
1293,"Essential reads for people interested in Actuary and Actuarial science",0,2,1,2
1296,"How to find a confidence interval for the total number of events",8,4,0,8
1305,"Automation of standardization",1,0,1,3
1308,"Extending the birthday paradox to more than 2 people",13,3,5,3
1314,"What are some possible career options?",0,0,5,8
1315,"How do I figure out what kind of distribution represents this data on ping response times?",11,9,7,3
1321,"Visualizing two scalar variables over time",6,3,2,7
1324,"Parametric techniques for n-related samples",3,1,0,2
1337,"Statistics Jokes",24,34,3,1
1350,"How to get around Numerical Overflow in Stata?",1,2,1,3
1352,"References for how to plan a study",10,4,0,6
1355,"How could I predict the results of a simple card game?",5,1,7,6
1357,"Is mutual information invariant to scaling, i.e. multiplying all elements by a nonzero constant?",1,3,0,4
1358,"Intuition for higher moments in circular statistics",10,1,0,4
1369,"Sampling according to a normal distribution",0,1,1,7
1376,"Robust version of Hotelling $T^2$ test",4,2,2,4
1378,"Estimating variability over time",7,2,2,4
1380,"Comparing multiple contingency tables, independent data",2,2,0,3
1383,"Suggest a method for statistical data compression",0,2,3,6
1385,"Techniques for Handling Incomplete/Missing Data",8,3,2,3
1386,"Robust t-test for mean",6,2,3,7
1389,"What is numerical overflow?",4,3,0,7
1395,"Libraries for forest and funnel plots",4,3,0,6
1399,"Obtaining and interpreting bootstrapped confidence intervals from hierarchical data",6,2,0,6
1405,"Statistical test for difference between two odds ratios?",1,1,2,3
1412,"Consequences of an improper link function in N alternative forced choice procedures (e.g. 2AFC)?",3,2,1,7
1413,"Mixed regression models and custom link functions in R?",2,1,1,3
1424,"The ""Risk"" game dice problem",2,1,2,6
1427,"Time-series data pre-aggregated into non-stationary rolling 12-month periods: are there special considerations for modeling?",2,1,0,5
1430,"Example of a 2nd order stationary, but not strictly stationary process",4,1,2,8
1432,"What do the residuals in a logistic regression mean?",11,4,3,6
1437,"Can Principal Component Analysis be used alone to infer major patterns within data instead of k means clustering?",1,2,0,7
1441,"Example of a stochastic process that is 1st and 2nd order stationary, but not strictly stationary (Round 2)",3,0,2,3
1444,"How should I transform non-negative data including zeros?",23,7,2,1
1447,"r-squared: I have never fully grasped the interpretation",10,4,1,6
1454,"How to identify points and an unknown distribution in a two type clustering problem?",1,1,1,3
1455,"What is the distribution of OR (odds ratio)?",5,4,0,3
1458,"Why is multiple comparison a problem?",19,4,1,6
1459,"How to identify transfer functions in a time series regression forecasting model?",2,3,0,1
1460,"Ideal transformation for consumption variable in a probit model",0,4,0,4
1462,"Using Std.Dev and Mean to generate hypothetical/additional data points?",2,6,1,5
1469,"A Primer on Estimator Efficiency?",3,2,2,2
1471,"Is it possible to directly read CSV columns as categorical data?",4,2,1,8
1475,"Visualization software for clustering",12,8,0,8
1478,"Testing implementation of Anderson-Darling test for uniform RV",2,2,2,4
1485,"Few machine learning problems",4,2,0,7
1487,"Correcting experiment results",1,3,0,5
1493,"What is the distribution of $\chi^n_k$?",4,2,3,4
1495,"Cognitive processing/interpretation of data visualizations techniques",10,5,0,5
1501,"What resources/methods exist for testing/validation or evaluation of Statistical Methods",2,1,8,7
1507,"Example of using binomial distribution",0,4,10,8
1517,"Useful statistical functions for business -- for use by a newbie",2,4,3,8
1519,"On univariate outlier tests (or: Dixon Q versus Grubbs)",6,1,0,8
1520,"The expected value of random variable on tosses of a coin",6,3,1,8
1521,"Data Mining and Statistical Analysis",9,6,2,8
1525,"What's the difference between a probability and a proportion?",6,5,4,8
1529,"What type of post-fit analysis of residuals do you use?",7,0,2,6
1531,"How to calculate the ""exact confidence interval"" for relative risk?",3,3,1,7
1534,"Best method for comparing multiple ranging measures",1,1,0,4
1536,"What are the advantages of using mutual information over Pearson correlation in network inference?",0,1,0,5
1538,"Why does the supremum of the Brownian bridge have the Kolmogorov–Smirnov distribution?",11,2,2,2
1540,"What is the expected MINIMUM value drawn from a uniform distribution between 0 and 1 after n trials?",3,3,0,7
1542,"Analysis of multiple time series",1,1,0,8
1555,"Test if differences between frequencies is significant",4,2,2,1
1556,"Statistically significant vs. independent/dependent",7,2,0,1
1557,"James-Stein shrinkage 'in the wild'?",6,5,0,2
1561,"Normalizing data",1,1,0,7
1562,"What dependence is implied by a chi square test for independence?",4,4,0,4
1564,"How can I calculate the conditional probability of several events?",4,3,0,4
1571,"Recreating traditional null hypothesis testing with Bayesian methods",4,3,0,6
1576,"What are the differences between Factor Analysis and Principal Component Analysis",21,6,1,4
1580,"Regression coefficients that flip sign after including other predictors",8,3,0,5
1583,"Appropriate link function for 2AFC data?",2,1,0,3
1590,"Does an r value of 0.60 mean that an increase in one variable is 60% likely to mean an increase in the other variable?",0,1,2,3
1595,"Python as a statistics workbench",66,15,2,6
1601,"What other normalizing transformations are commonly used beyond the common ones like square root, log, etc.?",5,4,0,8
1604,"Constructing smoothing splines with cross-validation",5,1,0,4
1610,"Is there a way to remember the definitions of Type I and Type II Errors?",22,17,10,4
1611,"Do working statisticians care about the difference between frequentist and bayesian inference?",14,5,0,6
1621,"Using information geometry to define distances and volumes…useful?",6,4,3,1
1622,"Comparing 2 independent non-central t statistics",1,1,1,7
1624,"Based on z-score, is it possible to compute confidence without looking at a z-table?",3,4,0,4
1637,"If the t-test and the ANOVA for two groups are equivalent, why aren't their assumptions equivalent?",14,4,1,7
1645,"Appropriate normality tests for small samples",6,5,0,8
1646,"Intraclass correlation and aggregation",7,2,3,7
1649,"Using mixed effects modelling to estimate and compare variability",4,2,0,2
1651,"How to fit a negative binomial distribution in R while incorporating censoring",5,2,3,1
1660,"What is a test of independence",6,2,0,2
1661,"Which 2-sample univariate t-test to use?",2,3,1,1
1667,"What books provide an overview of engineering statistics?",4,3,0,1
1668,"What books provide an overview of computational statistics as it applies to computer science?",12,9,0,1
1674,"Fisher information and the ""surface area of the typical set""",4,1,1,8
1676,"I just installed the latest version of R. What packages should I obtain?",4,10,9,5
1681,"Chernoff-like bound for largest allowed deviation?",3,2,2,4
1687,"Applied statistics to find the minimum load for power factor floor",2,2,0,3
1699,"Tangency portfolio in R",5,1,3,7
1708,"Variation in PCA weights",2,1,3,6
1709,"How to draw a probable outcome from a distribution?",4,4,5,7
1713,"Express answers in terms of original units, in Box-Cox transformed data",6,3,0,6
1719,"Video/Audio online material for getting into Bayesian analysis and logistic-regressions",5,2,1,7
1729,"Export/format output from pairwise.t.test to LaTeX",4,2,1,3
1735,"Method to compare variable coefficient in two regression models",2,2,2,8
1736,"Survival Analysis tools in Python",6,3,1,5
1737,"How to find all unique combinations of factors in a data.frame in R?",7,6,1,4
1749,"How can you approximate the number of trials to success given a particular Pr(Success)?",5,1,0,3
1753,"Visualizing standard deviation on a Cartesian plot",1,2,5,2
1757,"Significant Difference between two network graphs",4,2,0,1
1761,"Statistics/Probability Videos for Beginners",17,4,0,6
1764,"What are alternatives to broken axes?",12,3,5,5
1773,"What are correct values for precision and recall in edge cases?",5,4,3,7
1776,"Shall I trust AIC (non-full model) or slope (full model)?",-1,2,2,1
1780,"How to start an analysis of keywords from a bibliography and detect correlations?",6,5,0,1
1781,"Unbiased estimation of covariance matrix for multiply censored data",10,3,6,8
1787,"Using bootstrap for glm coefficients variance estimation (in R)",5,2,2,2
1790,"Meaningful deviation measure with strongly varying datapoints",4,2,0,4
1797,"What would a confidence interval around a predicted value from a mixed effects model mean?",9,2,2,1
1799,"Recommendations - or best practices - for analyzing non-independent data. Specific example relating to pain perception data provided",7,3,0,4
1805,"Fisher's Exact Test in contingency tables larger than 2x2",14,3,0,3
1807,"How to perform Student's t-test having only sample size, sample average and population average are known?",8,4,2,8
1812,"FA: Choosing Rotation matrix, based on ""Simple Structure Criteria""",5,4,0,5
1813,"Comparing two genetic algorithms",8,2,3,1
1815,"Recommended books on experiment design?",15,12,4,2
1818,"How to determine the sample size needed for repeated measurement ANOVA?",10,2,0,5
1822,"Test for Poolability of Individual Data Series",3,3,0,1
1826,"Cross-Validation in plain english?",19,5,1,4
1829,"What algorithm is used in linear regression?",13,6,0,4
1838,"How do I vertically stack two graphs with the same x scale, but a different y scale in R?",6,2,0,1
1841,"Hypothesis testing that one time-series of a measure of entropy doesn't belong to a population",6,2,0,1
1844,"What are the pros and cons of using the logrank vs. the Mantel-Haenszel method for computing the Hazard Ratio in survival analysis?",9,4,7,7
1848,"Bayesian rating system with multiple categories for each rating",6,1,1,2
1850,"Difference between Cohen's d and Hedges' g for effect size metrics",5,2,2,6
1851,"Find parametric representation of cluster surface",1,0,3,2
1853,"Testing two independent samples for null of same skew?",6,1,2,1
1856,"Application of machine learning techniques in small sample clinical studies",8,4,2,7
1860,"Regression specification choices",4,2,0,3
1862,"How to summarize categorical data?",10,4,2,4
1863,"Might be an unbalanced within subjects repeated measures?",5,3,0,2
1865,"What is the expected number of runs of same color in a standard deck of cards?",5,1,3,1
1866,"How to simulate a custom power analysis of an lm model (using R)",6,2,0,2
1870,"How to learn how to use a new statistical GUI?",3,4,0,6
1873,"Based on my data, is Jack likely to be clumsy?",2,2,1,3
1874,"Parametric Surface Reconstruction from Contours with Quick Rescaling",4,1,2,4
1875,"Is my weatherman accurate?",16,5,1,3
1881,"Analysis of cross correlation between point-processes",3,1,0,1
1883,"Revolutions in statistics for the last 50 years?",4,11,10,8
1895,"Determining the ""variability"" of a benchmark",2,2,2,7
1904,"Statistics conferences?",11,12,0,6
1906,"Data mining conferences?",7,13,3,1
1908,"Machine Learning conferences?",5,10,0,1
1912,"Why can scale invariance cause a loss of explanatory power?",3,3,7,4
1914,"Choice for priors for exponential spatial covariance",4,1,0,4
1915,"Newman's modularity clustering for graphs",5,1,2,4
1923,"How to compute efficiency?",4,2,0,3
1927,"Is there an accepted definition for the median of a sample on the plane, or higher ordered spaces?",17,7,0,3
1935,"Whither bootstrapping - can someone provide a simple explanation to get me started?",7,7,0,3
1942,"Quantitative methods and statistics conferences in psychology?",1,3,0,7
1944,"What is the name of this normalization?",2,2,4,6
1955,"Comparing noisy data sequences to estimate the likelihood of them being produced by different instances of an identical Markov process",4,2,0,1
1961,"Can you use normal correlation for vectors with only 2 (or 3), ordered, levels?",3,3,3,4
1963,"Looking for good introductory treatment of meta-analysis",8,4,2,2
1964,"Kernel bandwidth in Kernel density estimation",7,2,0,8
1966,"Density estimation methods?",6,5,1,7
1970,"What is a statistical journal with quick turnaround?",6,1,1,1
1972,"Family-wise confidence intervals",5,2,1,2
